word,category,n_tokens,pos,token_id,token,next_token_id,final_top1_token,probe,raw_top1,raw_top1_prob,raw_self_rank,raw_next_rank,raw_final1_rank,normed_top1,normed_top1_prob,normed_self_rank,normed_next_rank,normed_final1_rank,raw_top5,normed_top5
dog,common_noun,1,0,21428,dog,,",",emb,omitempty,2.2e-05,49457,,19664,omitempty,0.090842,49590,,11102,omitempty:0.0000;enas:0.0000;nett:0.0000;esp:0.0000;ef:0.0000,omitempty:0.0908;enas:0.0420;nett:0.0385;esp:0.0098;ef:0.0090
dog,common_noun,1,0,21428,dog,,",",layer_1,Ġpractition,0.001582,46497,,1217,ging,0.046875,47530,,783,Ġpractition:0.0016;Ġresemb:0.0014;ging:0.0012;Ġsupernat:0.0012;Ġresearc:0.0011,ging:0.0469;ged:0.0351;gie:0.0151;gy:0.0104;gers:0.0078
dog,common_noun,1,0,21428,dog,,",",layer_2,ged,0.008852,44585,,127,ged,0.068525,45779,,61,ged:0.0089;Ġ$[]$:0.0070;gie:0.0067;Ġpractition:0.0066;Ġresemb:0.0053,ged:0.0685;gie:0.0392;gy:0.0221;ging:0.0124;Ġlook:0.0098
dog,common_noun,1,0,21428,dog,,",",layer_4,ĠD,0.817994,24316,,2,.,0.00484,26083,,3,"ĠD:0.8180;,:0.1482;.:0.0117;Ġ(:0.0089;Ċ:0.0059",".:0.0048;Ċ:0.0045;,:0.0033;Ġthat:0.0024;Ġand:0.0022"
dog,common_noun,1,0,21428,dog,,",",layer_7,ĠD,0.999959,23780,,2,Ċ,0.004997,27436,,3,"ĠD:1.0000;,:0.0000;Ġ(:0.0000;Ċ:0.0000;Ġa:0.0000","Ċ:0.0050;.:0.0043;,:0.0028;ĠI:0.0023;Ġa:0.0021"
dog,common_noun,1,0,21428,dog,,",",layer_11,ĠD,0.99984,23785,,2,Ċ,0.005191,28354,,3,"ĠD:0.9998;,:0.0002;Ġ(:0.0000;ĠC:0.0000;Ċ:0.0000","Ċ:0.0052;.:0.0045;,:0.0035;Ġand:0.0024;Ġa:0.0024"
dog,common_noun,1,0,21428,dog,,",",layer_14,ĠD,0.987103,23840,,2,Ċ,0.005709,28945,,3,"ĠD:0.9871;,:0.0129;Ġ(:0.0000;ĠC:0.0000;ĠG:0.0000","Ċ:0.0057;.:0.0046;,:0.0042;Ġ(:0.0030;Ġa:0.0030"
dog,common_noun,1,0,21428,dog,,",",layer_18,",",0.843881,23347,,1,Ċ,0.005325,28525,,2,",:0.8439;ĠD:0.1322;Ġ(:0.0122;-:0.0108;ĠC:0.0008","Ċ:0.0053;,:0.0047;.:0.0042;Ġ(:0.0038;-:0.0037"
dog,common_noun,1,0,21428,dog,,",",layer_21,-,0.63388,23420,,2,Ċ,0.004549,28648,,2,"-:0.6339;,:0.2730;ĠD:0.0698;Ġ(:0.0210;ĠC:0.0021","Ċ:0.0045;,:0.0042;-:0.0039;Ġ(:0.0036;.:0.0035"
dog,common_noun,1,0,21428,dog,,",",layer_23,-,0.623466,23531,,2,Ċ,0.004219,28757,,2,"-:0.6235;,:0.2063;ĠD:0.1172;Ġ(:0.0462;ĠC:0.0065","Ċ:0.0042;,:0.0040;-:0.0037;Ġ(:0.0035;.:0.0032"
dog,common_noun,1,0,21428,dog,,",",layer_25,-,0.743068,23623,,2,Ċ,0.003968,28807,,2,"-:0.7431;,:0.1134;ĠD:0.0992;Ġ(:0.0390;ĠC:0.0049","Ċ:0.0040;,:0.0036;-:0.0034;Ġ(:0.0033;.:0.0029"
dog,common_noun,1,0,21428,dog,,",",layer_27,-,0.900883,23671,,2,Ċ,0.003823,28847,,2,"-:0.9009;,:0.0536;Ġ(:0.0244;ĠD:0.0193;ĠC:0.0018","Ċ:0.0038;,:0.0034;-:0.0033;Ġ(:0.0030;.:0.0027"
dog,common_noun,1,0,21428,dog,,",",layer_28,-,0.946196,23741,,2,Ċ,0.003834,28907,,2,"-:0.9462;,:0.0301;Ġ(:0.0161;ĠD:0.0068;ĠC:0.0008","Ċ:0.0038;,:0.0031;-:0.0030;Ġ(:0.0028;Ġand:0.0025"
